question,answer,image_id
what is above the holder,blinds,image702
what is around the table,chair,image798
what is behind the monitor,calendar,image456
what is the object on the floor right of the chair,garbage_bin,image1058
what is the object on the table,television,image602
what is the object in the right side of the faucet and in front of the mirror,bottle_of_soap,image702
how many brown ladders are there,1,image6
what is the object close to the wall right of the screen,window,image1075
what is the object on the floor in front of the counter,table,image768
what is in front of the table,garbage_bin,image496
how many picture frames are there,2,image369
what is the white object at the end of the room below the pink light,door,image275
what is the object that is placed on the middle rack of the stand that is placed closed to the wall,projector,image6
what is the object built in the middle close to the wall,door_frame,image18
what is on the left side of the garbage bin,laundry_basket,image529
what is on the left side of the flush tank,sink,image659
how many blue objects are on the top of the cabinet but not below the tape dispenser or in the pen stand,1,image11
what is the largest object,bed,image1105
what is the object on the hangers,jacket,image95
how many black chairs are there,1,image957
what is on the left side of the television,lamp,image579
what is on the flush tank,tissue_box,image728
what is on the stand,clothes,image407
what is the object close to the wall left of the screen,window,image911
what is the object on the post case,notecards,image100
what is on the left side of the bottle of hand wash liquid,cream_tube,image653
what are the objects on the bed,"pillow, blanket",image1129
what is on the right side of the monitor,telephone,image454
what is the largest object,sofa,image594
what is the object on the floor in the corner,lamp,image1167
what is the object in the middle shelf,monitor,image477
how many ceiling lamps are off in this picture,2,image28
what is in front of the switch board,paper,image850
what are the colours of the clothes,"pink, black, white, blue",image99
what is the object on the shelf,photo,image1167
what is the big object in the left side of the toilet and in front of the wall,garbage_bin,image508
how many monitors are there,4,image111
what are the circular objects visible,"table, clock",image35
what are the objects on the stool right of the bed,"towel, telephone, toy",image937
what is the object on the floor in front of the cabinet,garbage_bin,image877
what is on the left side of the cooler,stool,image833
how many celery curtains are there,1,image18
what is the object on the stool,lamp,image998
what is the object close to the floor,floor_mat,image723
what is the object close to the wall above the counter,window,image575
what is the first object on the table visible,bottle,image830
how many pictures are there on the wall,2,image714
what is on the left most side of the chair,paper_holder,image454
what is the object on the towel rod,towel,image718
what is the colour of the garbage bin,"black, gray",image414
what is in front of the paper,tissue_box,image606
what is on the right side of the coffee machine,tea_pot,image751
what is behind the chair,door,image639
what is the round object between the armchairs,ottoman,image403
what are the objects that are placed close inside the pen stand,"pen, pencil, scale",image11
what is on the right side of the table,lamp,image599
what is the object behind the chairs in the hangers,clothes,image118
what is on the left side of the table,ornamental_plant,image810
how many bicycles are hanging on the wall,1,image603
what is the object close to the counter,sink,image743
what color is the table below the computer case in front of the wall,brown,image20
what are the objects kept on the top rack of the shelf,clothes,image91
what is on the stand,towel,image516
what is in front of the tube,towel,image735
what color is the swivel chair,black,image624
what is on the right side of the microwave,refridgerator,image889
what is the object close to the wall above to the towel rod,cabinet,image659
what color is the bedhead in this picture,brown,image76
what color is the counter,"white, brown",image124
how many legs of the sofa is visble,3,image36
what is on the left side of the bottle,fruit,image750
what is on the left side of the tap,bottle_of_hand_wash_liquid,image653
how many doors are there,1,image43
what is the object close to the sink,faucet,image657
what is the object in front of the counter,chair,image880
what is the colour of the bag,"gray, black",image583
what is the largest object,bed,image1116
what is on the chair behind the reception counter,jacket,image453
what color are the cabinets,brown,image197
what is in front of the stacked chairs and on the left side of the table,ladder,image6
what is the object on the table in the corner,photo,image477
what is in front of the tissue roll,glass,image897
what is on the white stand,printer,image409
what is on the left side of the sink,bowl,image561
what is under the counter and behind the floor mat,radiator,image123
what is the object close to the wall,wall_decoration,image148
what color is the file container on the filing cabinet,white,image552
what color is the leather sofa,brown,image383
what is on the left side table,stool,image98
what is the object on the shelves,cup,image100
what is on the right side of the bookshelf,toy_house,image400
how many drawers are there,10,image381
how many knobs are there on the stove,4,image785
what are the objects on the bed,"blanket, pillow",image976
what is hanging on the rod below the sink,towel,image663
what is the object on the table,television,image980
what is on the left side of the stool,lamp,image537
what is the object close to the counter,sink,image896
what is on the left side of the lamp,cell_phone_charger,image537
what is on the wall,window,image60
what is the object close to the counter,sink,image720
what is stuck close to every shelf frame,sticker,image105
what are the objects close to the wall,"clock, poster_board, wire, telephone, fire_alarm",image21
what is on the chair,jacket,image23
what is the object on the window pane,plant,image736
what is the colour of the bowl,white,image853
what is on the spatula holder,knife_rack,image762
what is the object close to the door,door_knob,image690
what are the objects on the shelf frame,"hair_brush, toothbrush, makeup_brush, face_wash_cream, bottle_of_liquid",image45
how many plastic cups of coffee are visible,1,image63
what is at the end on the stove table,ornamental_plant,image791
what is the object in front of the room divider left of the table,plant,image1270
what is on the right side of the stove,electrical_kettle,image785
what is on the stand,"plate, paper",image616
how many papers are stuck on the refridgerator,2,image2
what is on the table,"paper, carton",image884
what is the colour of the door,brown,image549
how many brown tables are there,3,image1289
what is on the right side of the knife rack,refridgerator,image807
what is in the shelf on the right side of the room,decorative_bowl,image245
what is on the wall,picture,image740
what is on the left side of the sink,container,image891
what is above the drawers,television,image423
what is in front of the book rack,chair,image483
what is on the right side of the cream tube,curtain,image692
what is on the drying stand,clothes,image519
what is on the left side of the television,picture,image431
what are the objects on the table,"printer, stapler, paper",image38
what is on the stove,tea_kettle,image802
what is on the left side of the hot water heater,cup,image576
how many picture frames are there,2,image842
what is the object close to the wall,poster_board,image450
what is on the right side of the poster board,lamp,image625
how many framed pictures are there,1,image23
what is the object on the floor right of the screen,floor_mat,image693
what is on the door,knob,image578
how many pillows are there,2,image71
how many bottles are there,3,image737
what is on the right side of the brown table and on the left side of the door frame in fornt of the wall,ladder,image17
what is the object close to the counter,stove,image835
what solor is the bookshelf,brown,image69
what is the colour of the wall,pink,image536
what is on the right side of the pillow,book,image538
what is the object close to the wall in front of the room divider,sink,image48
what is the object left of the chair in front of the wall,water_dispenser,image21
what is beneath the keyboard,clothes,image63
what is above the cupboards,books,image110
how many frames are there on the wall,4,image1365
how many chairs are there,4,image746
what is on the left side of the blinds,picture,image676
what is on the bed,clothes,image418
what is the object fixed close to the wall,cabinet,image2
what is the shower door made of,glass,image508
what is on the table,telephone,image39
how many drawers are there,5,image687
how many armchairs are there,2,image1232
what are the objects on the tall shelf in front of the wall,"book, hockey_glove, picture",image80
what is the object in the shelves,box,image494
what is the largest black object,sofa,image1187
what is the object close on the floor,floor_mat,image45
what is on the left side of the book rack,ornamental_plant,image472
what color is the garbage bin on the floor on the left side of the desk,purple,image22
what is beneath the table,dishwasher,image766
how many windows are there,2,image14
what is on the left side of the table,garbage_bin,image524
what is the black object,chair,image536
how many chairs are there,1,image1040
what is on the left side of the mattress on the floor,"paper, napkin_dispenser",image532
how many drawers are visible,3,image700
what is the object close to the wall,faucet,image696
what is on the right side of the plastic box,"knife_rack, knife",image775
what is the colour of the clothes on the chair,pink,image418
what is on the right side of the photo stand,"cup, stand",image100
what is the largest object,refridgerator,image134
what is on the right side of the baskets,books,image419
what are the objects on the counter table,"stapler, tape_dispenser, paper_holder",image12
what is the red and gray object in front of the mirror and close to the edge of the desk,deoderant,image77
what color is the bed sheet below the blanket and pillows,gray,image79
what are the objects kept on the shelves in the wardrobe,"shoe, clothes, cream, jacket",image72
what is on the right side of the bed,night_stand,image514
what is the object close to the wall above the bed,picture,image914
what is the object built on top of the counter right of the stove,sink,image1
what is on the red pouch,makeup_brush,image45
what is the object on the floor in front of the cabinet,stool,image607
what is on the stool,"decorative_item, picture",image452
what kinds of tables are in this room,"toy_table, foosball_table",image422
what is in front of the machine,tea_kettle,image874
what is the object on the counter in the corner,microwave,image819
what is the object on the shelf,jacket,image92
how many pillows are there on the sofa in the right side of the man,2,image229
how many chairs are around the dining table in this picture,7,image1352
what is the object on the floor,toilet,image648
how many people are there in the framed picture,3,image43
what is on the right side of the tap,bottle_of_hand_wash_liquid,image731
what is on the window,curtain,image561
what is the object on which the laptop is kept,table,image146
what color is the rolling stool in front of the arched door way and close to the rug,purple,image1265
what is on the right side of the bottle,"knife_rack, knife",image853
what is the largest object,sofa,image1252
what is beneath the table,drawer,image666
what is the object above the chairs and next to the clock,window,image282
what are the objects on the bed,"pillow, blanket, bed_sheets",image516
what is on the right side of the sink,towel,image750
what is the object close to the wall,picture,image1082
what is the most frequent object in this picture,book,image87
how many rulers are there,1,image25
what is on the right side of the kitchen utensils,dishwasher,image802
what is the object on the side table,bag,image633
what color is the roll of paper towels,1,image252
what is on the right side of the toilet,curtain,image667
what is on the floor and on the right side of the painting,toy_box,image280
what is the black object on the counter,hot_water_heater,image844
what color is the towel,white,image46
what is on the left side of the tissue roll,bottle,image605
what are the colours of the drawers,"purple, white",image423
what is on the left side of the drawers,dishwasher,image796
what is the colour of the kid sofa in front of the table,purple,image402
what is the object on the floor in front of the wall,cabinet,image1004
what is on the right side of the monitor,paper,image557
what is on the right side of the spatula holder,coffee_machine,image808
what is the object close to the wall,wall_decoration,image536
what is on the left side of the stove,"bowl, towel",image820
what is the biggest object on the table,lamp,image379
what is on the wall,picture,image792
what is on the right side of the book,bottle,image794
what are the object close to the cabinet in front of the mirror,"sink, faucet",image743
what is in between the stool and the table,basket,image409
what is on the left wall of the projector screen,whiteboard,image26
what is on the left side of the chair,monitor,image612
what is on the central table,remote_control,image837
what are the objects on the table,"monitor, keyboard, mouse, computer, paper",image29
what in the brown object next to the black armchair,table,image28
what is in front of the wall,laundry_basket,image539
what is on the wall,"picture, poster_board",image470
what is the largest object that is hung on the wall,picture,image50
how many furnitures are there,3,image462
what is in front of the monitor,bottle,image554
how many rack shelves are there with coffee mugs,2,image101
what is on top of the side table that is left of the bed,lamp,image79
what is leaning against the wall on the left side of the white cabinet,ladder,image239
what is on the stand,books,image622
how many chairs are there,6,image39
what is in front of the chair beneath the table,garbage_bin,image864
how many dark brown squere tea table are there,1,image419
what color is the doors of the cabinets,white,image206
what is on the right side of the globe,stamp,image481
how many pictures are there on the wall,3,image588
what is on the left side of the chair,toy,image863
what is the colour of the poster board,brown,image9
what are the objects on the shelves,books,image87
what is behind the right cpu,water_dispenser,image30
how many black chairs are behind the coffee table,2,image248
what is the object close to the counter,stove,image563
what is on the right side of the centre plate,"knife_rack, knife",image753
what is the object close to the wall below the window,towel_rod,image703
what is on the left side of the bottle of liquid,shaver,image62
what is the object that is on the left of the counter and right of the stack of chairs,whiteboard,image5
what is on the left side of the sink,cup,image848
what is in front of the chair,bag,image445
what is on the hanger,towel,image667
what is on the stove,tea_kettle,image779
what is the object on the floor in front of the cabinet,garbage_bin,image931
what is on the stove,tea_kettle,image770
what is the object close to the sink,faucet,image708
how many lamps are on the ceiling in this picture,4,image271
what is the object on the floor in front of the wall,cabinet,image1149
what is on the left side of the bottle of liquid,tissue_box,image657
what is the object close to the towel rod,towel,image693
what is the object on the top shelf,monitor,image485
what is the dark brown object next to the big dark brown bed,drawer,image972
what are the circle shape objects on the table on the right side of the picture,box,image234
what is the object on the floor in front of the wall,toilet,image497
what is on the left side of the cream tube,bottle_of_hand_wash_liquid,image670
how many lights are on,3,image22
what is the object above the stove close to the wall,microwave,image144
what is the object on the floor behind the screen,bathtub,image744
what is the round object on the floor in front of the bookshelf,rug,image316
what is above the microwave,clock,image572
what is in front of the glass door of the dresser,book,image1061
what are objects kept on the rack close to the wall,books,image52
what is on the right side of the table,xbox,image431
what is on the left side of the white sink and under the cabinet,microwave,image2
what is on the left side of the comforter,lamp,image398
what is beneath the laptop table,garbage_bin,image376
what is the object hanging on the hangers,jacket,image99
what is in front of the sofa,table,image591
what is the object on which the person is sitting,chair,image633
what is the object on the bed,pillow,image1163
what is the object close to the counter,sink,image670
how many papers are stuck on the wall,7,image11
what is on the pruple chair,paper,image397
what is the object close to the ceiling,light,image783
what is the object left of the table,room_divider,image38
what is the object on the floor in front of the table,chair,image605
how many stands of cup are there,2,image101
what is hanging on the cabinet above the sink,ladel,image575
what is the largest object,sofa,image1302
what is on the left side of the monitor,printer,image747
what is the object on the floor close to the shelves,trolley,image86
what is the largest object,table,image577
what is above the drawers,"cable_box, cables",image427
what is on the above the stove,microwave,image867
what is the object on the stool,photo,image146
what are predominantly filled in the rack,books,image51
what are the objects on the table,books,image1283
what is in front of the paper,pen,image839
what is the most frequent object in this picture,book,image84
how many monitors are there,2,image603
what is on the wall,picture,image732
what is on the right side of the paper,laptop,image623
what are the objects on the counter,"plate, cutting_board, cup, bottle, spoon",image564
what is the decorative object on the coffee table,decorative_bowl,image1287
what is the largest rectangular object in this picture,table,image1396
how many beds are there,2,image931
how many pillows are there,4,image518
what color is the rocking chair in front of the bookshelf,white,image400
what is on the left side of the book,perfume,image66
what is in front of the gray rack,garbage_bin,image112
what color is the paper towel holder on the dining table,brown,image550
what is the object in front of the bathtub,toilet,image696
what is on the left side of the rack,yoga_mat,image542
what is on the left side of the stove,oven,image837
what is the object on the counter in the corner,microwave,image862
what is the object above the shelves close to the wall,blackboard,image124
what is the object close to the wall,picture,image1014
what are the objects close to the shelves,books,image1084
how many chairs are there,2,image119
what is the object close to the refrigerator,magnet,image126
what is on the left side of the toilet,tissue_roll,image726
what color is the wall between the yelow chair and the dressing table,"gray, purple",image1101
how many tumblers are on the counter,4,image124
how many chairs are there,4,image452
how many blue electronic tooth brushes are there,1,image49
what is on the wall,picture,image883
how many drawers does the dresser have,5,image1148
what are the objects on the bed,"pillow, blanket",image1052
what is behind the picture,ornamental_plant,image458
what is the green object in front of the window,plant,image14
what is the colour of the lamp,"white, black",image488
what is on the right side of the bottle of liquid,oven,image780
what is the largest object,bed,image976
what is on the left side of the wall,refridgerator,image823
what is the white object in the left side of the toilet,garbage_bin,image497
how many frames are hanging on the wall,3,image462
what is the object close to the door,door_knob,image650
what is the object close to the sink,faucet,image682
what color is the plastic toy container close to the door way,blue,image443
what is the object on the floor in front of the wall,stool,image1116
what is the colour of the towels,white,image694
what is the object on the counter,bread,image860
what is on the right side of the iron grill,window,image433
what is on the right side of the sofa,bag,image582
what are the objects on the side table,"hand_sanitizer, tissue_box",image57
what is the object close to the wall,clothes,image957
what is on the refrigerator,"paper, magnet",image790
what is the object on the second shelf,photo,image1065
what is on the left side of the water cooler,tissue_roll,image820
how many lamps are there,2,image516
what is on the left side of the tap,bottle_of_liquid,image858
what is the object on telephone cord attached,telephone,image8
what is on the right side of the tap,bottle_of_hand_wash_liquid,image695
how many armchairs are there,2,image1265
what are the objects kept on the rack,books,image89
what is the object on the floor left of the wall,sofa,image1082
what is the big black object next to the books,television,image1251
how many chairs are there,8,image639
what are the objects on the shelves,books,image104
how many chairs are there,1,image1430
what is on the table,"cup, bag",image415
what is on the wall,picture,image701
what are the objects on the table,"monitor, keyboard, computer, wire, paper, mouse",image29
what is the object on the floor in front of the table,chair,image1084
what is the largest object,bed,image1029
what is on the right side of the plastic cover,bottle,image783
what is the colorful object on the top right of the window on the shelf,decorative_plate,image1437
what is leaning against the wall in the corridor,chair,image163
what are the objects on the table,"books, ball, telephone, paper",image476
what is the object close to the wall above the counter,microwave,image812
what are the objects close to the wall,photo,image1173
what color is the mirror frame above the sink,brown,image679
what is on the wall,picture,image421
what is the object close to the floor,floor_mat,image751
what colors are the sweatshirts in front of the store,"gray, blue, black",image95
what is on the window,blinds,image371
what is behind the vacuum cleaner,refridgerator,image489
how many water bottles are there,2,image812
how many remote controls are on the right arm of the chair close to the purple stool,2,image1263
what is in between the chairs,stand,image615
what are the objects on the shelf,clothes,image92
what color is the small bin on the left side of the doorway on the floor,green,image1012
what is on the right side of the tissue roll,plastic_box,image413
what is above the drawer,oven,image778
what is behind the ornamental item,mirror,image661
what are the objects on the bed,"pillow, blanket, bed_sheets",image1127
what is on the right side of the curtain,bathtub,image667
what is around the table,2,image596
what is on the left side of the papers,paper_holder,image614
how many sinks are there,2,image671
how many hight stools are in front of the kitchen counter,2,image263
what is the colour of the towel,white,image571
what is the brown wooden object behind the flat screen in front of the wall,dresser,image63
what is on the left most side on the table,mirror,image674
what is on the left side of the sink,bottle_of_soap,image574
how many draws are there in the unit where the tv dvd is kept,2,image62
what is the object close to the wall,wall_decoration,image879
what is on the sink,towel,image795
what is the colour of the wall on the right side of the black stand,purple,image90
what is in front of the shaver,nailclipper,image505
what is suspended from the ceiling,projector,image19
what is the object in the shelves,paper,image11
how many frames are on the wall between the blinds and the bookshelf,4,image396
what is on the right side of the toilet,sink,image503
what is the object close to the sink,faucet,image695
how many chairs are there,8,image828
what is the largest object,bed,image1052
what is the object on the floor left of the bathtub,floor_mat,image686
what is the object on the floor left of the table,sofa,image477
what is beneath the plant,table,image458
what is on the left side of the jar,tissue_roll,image846
what is the object on the table right of the tissue box,flower_pot,image879
what is in front of the towel,stand,image706
what is the colour of the pillow on the bed,"red, white",image538
how many chairs are there,4,image761
what is on the left side of the cup,towel,image893
what is the object close to the ceiling,light,image1364
what are the most colorful objects in this picture,"bed_sheets, map",image525
what is the largest object,bed,image953
what is on the right side of the microwave,bottle_of_liquid,image559
how many black swivel chairs are there in front of the white wall,1,image23
what is on the right side of the toilet,door,image689
what is the black object on the counter below the cabinet,hot_water_heater,image139
what is on the left side of the towel,mirror,image675
what is the white object in the center,sink,image46
what is the yellow object on the brown table,banana,image852
what is the object close to the floor,bathtub,image736
what is the object close to the wall behind the table,window,image596
what is on the left side of the juicer,jar,image846
how many window screens are there,2,image40
what is on the right side of the bed,night_stand,image81
what is on the left side of the broom,fan,image832
what is the object close to the counter,sink,image650
what is above the towel,picture,image667
what is the largest object,sofa,image1335
what is the black object on the table apet from the monitor,bag,image633
what is the largest object,table,image54
how many ottomans are around the table,1,image434
what is in front of the bottle of hand wash liquid,towel,image677
what is the largest object,sofa,image486
what is on the left side of the television,"speaker, dvd",image597
what is above the oven,microwave,image750
what color is the ball next to the bed,red,image1185
how many brown cork boards are there on the wall above the black chair and dark brown table,1,image21
how many candles are there,2,image1379
what is the object on top of the side table,flower_pot,image70
what is the object on the floor left of the table,sofa,image1351
what is on the left side of the wall,pipe,image491
how many monitors are there,3,image7
what is the object close to the wall above the floor,window,image1057
what is the object on top of the stove,vessel,image2
what is the largest object,chair,image536
what is the object close to the wall on the floor,garbage_bin,image57
what is close to the silver color garbage bin on the floor,garbage_bag,image877
what is the object close to the wall,wall_decoration,image118
what is the object on the floor right of the table,lamp,image52
what is in front of the lamp,"pen_cup, pen",image614
what color is the blanket,white,image1105
how many beds are there,2,image1020
what is on the refrigerator,magnet,image831
what is the red object on the wall on the left side of the corridor,fire_extinguisher,image15
what is right to the whiteboard,monitor,image31
what is the object close to the sink,faucet,image724
what is the large white object in the left side of the light brown dresser,curtain,image66
what is on the left side of the drawers,step_stool,image884
what is the object close to the wall behind the table,picture,image1373
what is beneath the toy doll,bag,image391
what is kept below the shelf that has the tape,books,image108
what is the object below the two red chairs,whiteboard,image26
what is the object close to the wall,picture,image1442
what are the objects on the shelves,books,image111
what is on the refridgerator door,picture,image134
how many windows are there,3,image748
what is the object on the tissue handle,tissue,image874
what is the object close to the wall,picture,image1007
what is on the right side of the salt shaker,tissue_roll,image870
what is the largest object,table,image822
what is the colour of the lamp,"white, black",image466
what is on the right side of the paper holder,briefcase,image610
what is on the right side of the sofa,table,image487
how many black objects are on the bed,3,image183
what is in front of the microwave,bottle_of_liquid,image857
what is the object on the counter left of the hair dryer,towel,image720
what is the red object,deoderant,image82
what is above the cables,tissue_roll,image759
what are objects on top of the bed,"pillow, blanket, clothes",image82
what is the object on the bed,pillow,image940
how many chairs are there,5,image822
what is the object on the bed,blanket,image1105
what is on the right most side on the table,lamp,image421
how many people are there,2,image634
what is the object on the floor in the corner,stool,image601
what is on the left of the poster board,coat_hanger,image23
what is the object on the floor in front of the wall,bed,image987
what is around the table,chair,image745
how many beds are there,2,image1019
which object has the circle shaped design,rug,image325
what are the objects on the bed,"pillow, blanket",image1036
what are the objects close to the ceiling,spot_light,image87
what is the object in the shelves,towel,image715
what is the object close to the wall above the cabinet,mirror,image923
what is the colour of the wall on the left side of the white board,red,image641
what is the object on the floor in front of the desk,chair,image585
what is in the rack,picture,image103
what are the machines on the table,"fax_machine, printer",image10
what is the white object in front of the wall,towel,image665
what is on the wall,light,image380
what is above the flush tank,tissue_box,image704
what is in front of the desk,sofa,image438
what is the object to which the jackets are hung close to,hangers,image115
what is the object on the counter in front of the cabinet,towel,image717
what is the largest black object in the kitchen,dishwasher,image575
how many tables are there,2,image632
how many toothbrushes are there,2,image44
what is on the right side of the candle holder,cup,image894
how many liquid bottles are there on the table,10,image4
how many kitchen stools are in front of the kitchen counter,2,image432
what is the object on the floor left of the bed,cabinet,image941
what is the object close to the wall above the counter,blackboard,image124
how many knobs are there,8,image564
what is the object close to the wall,picture,image921
what is the object on the tissue holder,tissue,image648
what are the objects on the table,"books, plate",image1288
how many chairs are on the right side of the table,3,image5
what is the object close to the counter,stove,image861
what is the largest object,sofa,image487
how many frames are there on the wall,3,image1397
what is on the wall,light,image381
how many knobs are there,6,image688
what is beneath the table,stool,image607
what is the object on the floor below the window,stool,image1068
what is on the coffee table,"paper, console_controller, remote_control",image598
what is the object close to the cabinet,light,image34
how many hanging hooks are on the wall on the left side of the brown board below the red fire alarm,3,image23
what are the objects on the rack,books,image91
what is the black object in front of the white wall and between the two windows,table,image1279
what is the red object in this picture,fire_alarm,image273
how many bicycles are hanging on the wall,1,image603
how many colors does the shower curtain have,4,image170
what object is on the water cooler,bottle,image31
what are the objects on the rack,"television, dvd_player, hand_sanitizer",image68
what color is the dish rack,black,image194
how many chairs are there,1,image831
which object has the striped design,lamp_shade,image1266
what is on the left side of the sink,towel,image731
what is the largest object,bed,image1007
what is on the left side of the chair,garbage_bin,image605
what is the object on the chair,clothes,image1037
what are the objects on the bed,"pillow, blanket, toy",image937
what is on the stove,cooking_pan,image892
what is the largest object,bed,image1039
what is on the left side of the newspaper,tissue,image822
how many books are open above the monitor,1,image377
what is the object on the white wall behind the red chair,whiteboard,image33
what is the colour of the table,red,image609
what is the object right and left of the sofas,television,image1232
how many cycles are there,2,image603
what is above the television,dvd_player,image437
what is above the flush tank,book,image689
what is behind the chair,table,image378
what is on the left side of the microwave,refridgerator,image854
what is the largest object,refridgerator,image807
how many drawers are there on the left side shelf,3,image370
what are the other objects in the rack,"plastic_box, container",image578
what is on the right side of the whiteboard,door,image439
what are the objects on the table,"fan, lamp, books",image931
what is on the wall above the glass,mirror,image510
what is the object close to the wall below the mirror,sink,image664
what color are the stools under the table,"white, blue",image756
what is the object on the stool,fan,image520
what is the object on the floor left of the bed,chair,image989
what is the colour of the bag on the left side of the papers,blue,image394
what is the object on the floor in front of the wall,cabinet,image1065
what is the object close to the table top,tablecloth,image1379
what is the light brown object on the left side of the cup shelf in front of the wall,ladder,image239
what is on the desk and below the window,"ironing_board, clothing_iron",image523
what is the colour of the board on the wall behind the ladder,red,image18
what is behind the kitchen utensils,bottle_of_liquid,image775
what are the objects on the shelf,books,image1141
what is the object on the floor close to the wall,picture,image976
what is in front of the rack,paper,image450
how many pictures are there on the wall,3,image471
what is behind the newspaper,ornamental_plant,image620
what is the color of the garbage bin,blue,image12
how many chairs are there left and right of the first table,4,image117
what is the object on the floor left of the pots,floor_mat,image683
how many chairs are there,6,image888
what is on the right side of the cupboard,machine,image881
what is on the left side of the image95 behind the clothes,candle,image95
what is between the toy truck and the toy shelf,doll_house,image443
what is on the right side of the monitor,cup,image903
what are in the wardrobe on the right side of the picture,shirts_in_hanger,image59
what is on the left side of the black equipment,bottle_of_liquid,image410
what is on the right side of the lamp on the table,bottle_of_liquid,image76
what is the object on the stool,lamp,image982
what is on the wall,wall_decoration,image467
what is the object on the table,plant,image149
around which object are the chairs placed,table,image117
what is the object on the chair,jacket,image1053
how many cobalt bins are there,1,image37
what is in the cupboard,"cup, saucer",image550
what is the color of the computer monitor,white,image13
what is on the right side of the soap,bottle_of_liquid,image701
what is on the night stand,"alarm_clock, lamp",image76
what is the object on the floor left of the table,basket,image1156
what is on the right side of the tap,bottle_of_liquid,image806
what is on the left side of the ornamental item,glass,image666
what is the object on the blanket,clothes,image953
what is on the right side of the bottle of liquid,toothbrush,image504
how many sinks are close to the counter,2,image833
what is in front of the mirror,"tissue_box, sink",image708
what is the object close to the wall right and left of the cabinet,television,image1260
what is the object in front of the window,chair,image40
how many drawers are there,7,image792
what is on the left side of the socket,picture,image842
what is the object close to the rack in the doorway,ladder,image86
what are the objects close to the poster board,"paper, clock",image23
what is the big white object in the left side on the black electronic kettle,refridgerator,image875
how many chairs are around the table,6,image550
what is the object close to the wall left of the mirror,towel_rod,image503
what is on the door of the wardrobe,mirror,image441
what color is the electrical kettle,black,image844
what is below the television,dresser,image192
what is in front of the mirror,toilet,image675
what is on the right side of the stapler,hand_sanitizer,image608
what is above the tap,mirror,image722
what color is the frame of the mirror close to the wardrobe,white,image515
what is the object close to the counter,stove,image877
what is on the top right of the clock on the wall,framed_certificate,image23
what is the object on the counter in the corner,toaster,image752
what is the object on the side table,telephone,image1068
what is left of the table,garbage_bin,image22
what is in front of the table,bag,image626
what is in front of the cup,cream_tube,image721
what is on the table,fruit,image569
how many dark brown chairs are there around the table,3,image799
what is the object close to the wall right side of the t shirt,window,image1066
what is on the right side of the blue water carboy and on the left side of the black cables,telephone_cord,image21
what is the object on the floor in front of the wall,cabinet,image1004
what is on the right side of the blinds,door,image783
what is on the right side of the toilet,curtain,image499
what is on the left side of the monitor,speaker,image638
what is in front of the blinds,toy_horse,image425
what is the object on the floor in front of the wall,bed,image1036
how many windows are there,1,image1438
what is on the right side of the chair,ping_pong_table,image640
what is in front of the glass,plate,image561
what is on the right side of the foosball table,desk,image438
what are the objects on the bed,"pillow, blanket, soft_toy",image937
what color is the sheet on the mattress,green,image534
how many white plastic boxes are close to the wall,3,image491
what is in front of the ornamental plant,towel,image825
what is on the door,door_knob,image512
what is behind the whiteboard on the gray part of the wall,electrical_outlet,image42
what is on the table,"jar, paper",image596
what is on the right side of the tap,bottle_of_hand_wash_liquid,image729
what is the object on the floor below the picture,toilet,image732
what are the objects in the shelf,"cup, bottle",image102
what is in front of the chair,bag,image393
what is hung on the wall above the telephone,clock,image8
what color is the garbage bin,white,image952
what is on the right side of the fruit,container,image841
what is the largest object,stove,image141
how many drawers are there,5,image500
what is the object on the floor in front of the wall,refridgerator,image566
what is on the right side of the bottle of hand wash liquid,plate,image834
what is in front of the wall,machine,image662
what is above the toilet,window,image508
what is the object close to the wall,poster_board,image613
what is the object close to the wall,picture,image1093
what is the object close to the tissue box,tissue,image728
what is the object in front of the white board,ladder,image7
how many clockes are on the white wall above the telephon,1,image8
how many doors are open,1,image715
what is the largest round object in this picture,ottoman,image1299
what color is the stool below the table,"white, brown",image607
what is on the right side of the the picture,window,image615
what is in front of the drawer,garbage_bin,image699
how many lamps are above the cash desk in this picture,2,image114
what is behind the coffee grinder,chair,image886
what is on the right side of the refrigerator,electrical_kettle,image843
what is the large white object in the right side,sink,image48
how many switch boards are there,2,image394
what is on the right side of the tap,cup,image813
what is the object on the floor in the corner,stool,image1020
what is the object close to the counter,stove,image896
how many monitors are the,1,image13
how many glass racks are there,4,image97
what is the colour of the chair,black,image476
what is the mat on the floor,floor_mat,image590
what is the object on the floor in front of the wall,cabinet,image1042
how many white stapler are there on the table,3,image11
what color is the garbage bin,white,image826
what is on the left side on the sofa,carton,image618
what is the object placed on a table below the bookshelf,flatbed_scanner,image16
what color is the cloth on the top of the clothing drying rack on the left side of the bed,black,image516
what is the object above the toilet and the sink,mirror,image738
what is in between the monitor that is on and off,green_screen,image7
what is behind the tap,bottle_of_liquid,image408
what is the object right of the ladle cups,box,image128
what is in behind the chair,table,image782
what is the object close to the wall,picture,image973
what is the white object on the floor next to the wall,toilet_paper,image59
what is on the right side of the refrigerator,stove,image569
what is the object in front of the chair,table,image836
what is the object on the floor in front of the window,sofa,image1267
what is in front of the towel,bottle,image865
what is on the table in front of the chair,laptop,image524
how many pillows are on the mattress,2,image532
what is on the mattress in front of the wall,blanket,image65
what is on the ping pong table,ping_pong_racket,image641
how many dressers are there,2,image1047
what are the objects on the bed,"pillow, blanket, clothes",image56
